Sport;2023-06-20;2023-06-21;2023-06-22;2023-06-23;2023-06-24;2023-06-25;2023-06-26;2023-06-27;2023-06-28;2023-06-29;2023-06-30;2023-07-01;2023-07-02
Karate;;;6;6;;;;;;;;;
Athletics;;;;12;13;12;;;;;;;
Table Tennis;;;;;;;1;2;;;;2;
3x3 Basketball;;;;;2;;;;;;;;
Canoe Slalom;;;;;;;;;;2;2;2;4
Archery;;;;;2;2;;;2;2;;;
Fencing;;;;;;2;2;2;2;2;2;;
Modern Pentathlon;;;;;;;;;;1;;4;
Rugby Sevens;;;;;;;;2;;;;;
Teqball;;;;;;;;;1;1;1;2;
Triathon;;;;;;;;1;1;;;1;
Padel;;;;;;3;;;;;;;
Kickboxing;;;;;;;;;;;;;16
Canoe Sprint;;;4;6;6;;;;;;;;
Cycling Mountain Bike;;;;;;2;;;;;;;
Judo;;;;;;;;;;;;1;
Taekwondo;;;;4;4;4;4;;;;;;
Cycling BMX Freestyle;;;2;;;;;;;;;;
Muaythai;;;;;;;;10;;;;;
Breaking;;;;;;;;2;;;;;
Boxing;;;;;;;;;;;;7;6
Artistic Swimming;;;2;2;2;2;;;;;;;
Diving;;;1;2;2;2;2;2;2;;;;
Badminton;;;;;;;;;;;;2;3
Beach Handball;;;2;;;;;;;;;;
Beach Soccer;;;;;;;;;;;;2;
Sport Climbing;;;1;1;2;2;;;;;;;
Shooting;;;3;3;4;3;3;3;2;2;3;2;2
Ski Jumping;;;;;;;;1;1;1;1;1;